 11 3402.798752 3.511E-28 3.019E+00.00980.183 3940.54250.41-.012880          0 0 1          0 0 0 18  2 17       18  2 16      34423344323171 511    37.0   37.0
 11 3402.939649 2.437E-29 7.184E-02.02530.235 3655.48340.36-.007142          0 3 0          0 1 0 13  3 11       14  0 14      34423344323171 511    27.0   29.0
 11 3403.066123 5.234E-28 4.164E-01.01620.265 3386.05130.24-.007424          0 3 0          0 1 0 13  2 12       12  1 11      3442334432297122 8    27.0   25.0
 11 3403.150963 9.906E-28 2.831E-01.03630.333 3306.29540.57-.007410          1 1 0          0 1 0  8  6  3        8  7  2      4442334432287122 8    51.0   51.0
 11 3403.167596 3.306E-28 2.835E-01.03640.333 3306.29440.57-.006750          1 1 0          0 1 0  8  6  2        8  7  1      4442334432297122 9    17.0   17.0
 11 3403.230321 1.075E-28 6.778E+00.09670.456 3833.57690.69-.003810          2 0 0          0 0 1  1  1  1        2  1  2      3442334432257122 7     3.0    5.0
 11 3403.310369 2.945E-29 1.492E+01.06460.352 4563.98930.61-.005370          1 0 1          1 0 0  6  4  3        7  4  4      4442334432257122 7    13.0   15.0
 11 3403.400970 3.320E-25 4.073E-01.09610.391 2053.96850.93-.006310          1 1 0          0 1 0  4  1  4        5  2  3      5547433018257120 7    27.0   33.0
 11 3403.429480 9.480E-26 3.438E+00.03680.298 2904.42800.51-.016570          1 1 0          0 1 0  9  1  8       10  2  9      5542433018287122 8    57.0   63.0
 11 3403.430705 1.000E-29 7.234E-03.03340.265 3592.42310.24-.012310          1 1 0          0 1 0 13  0 13       12  3 10      3442334432287122 8    81.0   75.0
 11 3403.491069 2.247E-27 1.010E-03.00670.235 2073.51370.36-.004888          0 2 0          0 0 0 13  2 11       14  1 14      34423344323071 510    81.0   87.0
 11 3403.576218 3.419E-28 7.068E-01.03110.208 3623.76320.38-.007580          1 0 0          0 0 0 16  3 13       16  4 12      34423344322971 5 9    33.0   33.0
 11 3403.582940 4.559E-22 1.578E+00.08950.452  661.54890.62-.007450          1 0 0          0 0 0  5  2  4        6  3  3      5577843018245022 6    11.0   13.0
 11 3403.675591 1.542E-27 3.497E-01.02720.250 3127.80150.24-.013130          1 0 0          0 0 0 13  7  7       13  8  6      3442334432297122 9    27.0   27.0
 11 3403.713290 1.606E-22 1.036E-01.08670.427  315.77950.67-.000800          0 2 0          0 0 0  5  3  3        4  2  2      5585443018245022 6    11.0    9.0
 11 3403.958113 1.114E-28 1.290E-03.04930.250 2756.41430.36-.022740          1 0 0          0 0 0 14  3 12       13  6  7      444233443231712211    87.0   81.0
 11 3403.996500 2.418E-28 1.771E+00.04580.250 4052.80980.240.010352          0 3 0          0 1 0 12  6  7       13  3 10      4442334432297122 9    75.0   81.0
 11 3404.011680 2.743E-26 5.032E-03.04080.333 1590.69060.56-.002090          0 2 0          0 0 0  9  6  4        8  7  1      4542433018297122 9    19.0   17.0
 11 3404.091047 1.626E-29 4.060E+00.01840.195 4610.02050.41-.011580          1 0 0          0 0 0 16  9  7       17  8 10      34423344323171 511    33.0   35.0
 11 3404.148260 3.429E-23 1.578E-01.04030.307 1079.07920.510.000010          0 2 0          0 0 0 10  2  9        9  1  8      5574443018242122 6    63.0   57.0
